吳種柳枉教輒復奉答,
危見心携示別去寄謝,
與雪舟楊子圓十五年不相聞一日辱和猥句更號皓隠因復奉寄,楊子圓
簡敬軒何行叟覓墨,簡敬軒
哭北谷羅先生,
贈廣信醫博士陳雲泉,陳雲泉;廣信
輕柔楊柳挾春妍孤梗梅花結雪緣此是乾坤大消息相逢切莫說流年此予三十年前贈先見趙太史二絕之一予亦不復記憶矣後三十五年太史訪予山中恨詩不存惟爲予誦此而亦忘其一竟莫省爲何等語也既徵補之且告予以五星之將聚因作二首奉笑,
郡中玄都觀追和劉禹錫詩,劉禹錫
經語詩戲效唐子西,
題危見心所藏陳常庵水月障及松鶴蘆雁各一首,陳常庵
題陳摶題壁圖,陳摶
題趙大年奉議小景,
贈張知府周卿,周卿
玉清宮與趙達夫鮮于樞聯句二首,趙達夫
題江貫道百牛圖,
玉清宫與趙達夫鮮于樞聨句,趙達夫
贈吳草裘,
景泰山送友人,
陪王仙卿登樓,王仙卿
題平江府靈巖寺,
送蜀李道士,
次韻王將仕,將仕
題南海祠,
別李仁甫,李仁甫
大都督制侍方巖先生召彭白飲于州治之春野亭因和蘇子美韻,彭白子
寄泉州□侍郎,
黄刑部倉部陳宗博招飲,陳宗博
呈沈同知,
次韻紫巖潘庭堅,潘庭堅
和葉宰韻題無咎齋,葉宰韻
別句呈庚契吳高士,
送郭進之,郭進之
感詠十解寄呈楊安撫,楊安撫
次韻永興王宰游鍾成觀,鍾成觀
贈吳道士,
贈何道人,
贈張知堂,張知堂
題鄭通妙方丈,
贈陳先生,
贈紫巖潘庭堅四首,潘庭堅
丹丘同王茶幹李縣尉高會,幹會
贈李道士謁仙行,
古別離 竹莊蘇筠州,
送談執權張南顯歸廣州,張南顯
友人陳槱得楊補之三昧賞之以詩,楊補之;陳槱
飛仙吟送張道士,
周唐輔仙居莊作,周唐輔
贈玉隆王直歲游武當山,
贈知宮王南紀洞章歌,
贈方壺高士,
夜宴清勝軒醉吟呈倪梅窗吳道士隠南,倪梅窗
贈蕊珠侍經潘常吉,潘常吉
漢宮春 次韻李漢老詠梅,
和趙抃賦新繁周表權如詔亭詩,趙抃
和陸伯微韻二首,陸伯
同陳守遊碧落洞二首,陳守遊
和戴石屏見寄韻二首,戴石屏
挽陳和仲二首,陳和仲
送旴江吳守以言歸二首,
酬袁守方秋崖遺寶带橋詩以顧我老非題柱客知君材是濟川功爲韻十四首,袁守方
和吳伯成七夕韻,吳伯成
李養源自號蒙泉求詩于東平包某作此以贈之,李養源某
臨江閤皂李仲章以省軒求詩,李仲章
酬阮逸詩卷,阮逸
和賈平章咸淳庚午冬大雪遺安撫潛侍郎詩,章咸淳;賈平
寄曾子開,
送周子靜分教桂陽,周子靜
贈林子山,
次韵和宋寧道太祝許氏園席上,宋寧
寓宿樂明之殿直家戲作,
蕨澗曹正叔有詩見寄因以答謝,曹正叔
寄鄭介夫,鄭介夫
和李善初會張范二公,李善初二
從軍還京贈羅適正之奉議,羅適正
至鄭州望故陳子思靈泉舊居愴然有感詩以述懷,陳子思
輓司馬溫國公丞相二首,
輓王元之相公二首,
輓歐陽伯和三首,歐陽伯
輓晁端友著作二首,晁端友
輓李成之待制六丈三首,李成之
輓盧革通議,
代范德孺輓李稷運使四首,范德孺;李稷
至曹州值羅正之著作部夫河上有阻會合以詩見意,羅正之
賀呂子進舍人告謝,賀呂子
和陳子思舅探梅,陳子思
和趙達夫入試院,趙達夫
和呂紀常奉使契丹,呂紀常
次韵和錢穆父提刑九日登鄆州樂郊,錢穆父;次韵
和錢穆父舍人,
寄鄆州李常武兼簡王希才先生須城王敦夫,王敦夫;李常武;王希才
和河南尹上清宮祈雪,
次韵和裴士傑庫部對棋上貢父學士,裴士傑;次韵
和歐陽伯和見寄,歐陽伯
和李文叔寄虢州孫元忠學士,孫元忠;李文叔
次韵和穀熟徐仲元著作監倉之什,徐仲元什
悲陳子思,陳子思
和陳子思遊靈泉山,陳子思
與信陽王君儀司理約遊首山寺不遂,
楓橋寺讀張祐詩碑云長洲苑外草蕭蕭却憶相從歲月遥惟有別時應不忘暮烟疏雨過楓橋是夜與溫老語殊可人翼日又邂逅程夢良二人相送寺門因留一章紀事,程夢良;張祐詩
和陳子思謝見過,陳子思
和陳子思宿陳家寺,陳子思
和陳子思晚出崇因,陳子思
和陳子思馬上口占令益師携茶紙赴會之作二首,陳子思
次韵陳子思,子思
次韵陳子思留別,
和子瞻題文周翰郭熙平遠圖二首,周翰;和子瞻;郭熙平
和宋寧道太祝簡陳濟翁,陳濟翁;宋寧道簡
寄潁川歐陽仲純兄弟,潁川;歐陽仲純
寄蔡州歐陽仲純,蔡州;歐陽仲純
寄成都宇文裘,文裘
戲贈濟陰令羅正之,羅正之
離蒲中簡游景叔知府少卿,
送交代楊應之判官歸洛,楊應之
送鄆州楊子安教授由京歸洛,楊子安
留別陳子思舅,
熙州蔣穎叔侍郎席上,蔣穎叔
蒙晁美叔秘監召觀書帖繼示長句次韵,
感興簡歐陽仲純兄弟,歐陽仲純
送王君儀北歸,
送范德孺使遼,范德孺
觀文與可學士畫枯木,
次韵李成之待制見寄,李成之
陳山龍湫,陳山
贈林次齡,次齡
與范謙叔飲西園,范謙叔
送蔡攸征燕,蔡攸
答童師敏,童師敏
淳熙戊戌將命廣東侍親携孥十一月至安仁留雲錦驛一宿而去時晉卿姪偕行後二十三年分閫桂林晉卿主餘干簿復以是月來會于此把琖道舊爲之愴然因成一詩示晉卿,
胡端約挽詩,胡端約
王季立安撫挽詩,王季立
張有年提舉挽詩,張有年
韓子溫母秦國太夫人挽詩,韓子溫
齊子餘母太夫人王氏挽詩,
趙從善母吉國夫人劉氏挽詩,趙從善
劉公實母夫人董氏挽詩,
送張子儀尚書起鎮東陽,張子儀
送蔣子立赴河南試,蔣子立
過鄱陽湖適遇便風湖面如鏡喜而有作,
浙東憲司會同年八人以詩記之,
新居偶成二詩示鄰人李子真,李子真
劉公實以淮白爲餉喜而作詩,劉公
和李子真八月十四日夜賞月之什,李子真
以蓮實餉李子真作詩爲謝因用其韻,李子真
齊子餘侍郎挽詩,
胡長文給事挽詩,胡長文
和胡秉彝敷文巖桂四首,胡秉彝
和胡端約巖桂六首,
次張伯信韻題吳園畫軸,張伯信;吳園
送葛謙問,葛謙
餞張平甫折海棠贈之,張平甫
同張叔囦顧致堯遊金山受之憚於涉險爽約不行因以詩簡之,張叔囦;顧致堯
新居用韓昌黎詩辛勤三十年以有此屋廬爲韻作十詩,韓昌黎
送張安國舍人,安國
和楊廷秀游蒲澗之什,楊廷秀
朱朝宗割愛嫁遣侍兒忘情如此是可尚也因作忘情吟以道哀怨之意,朱朝宗
雙林壁間有人寫董仲達希字韵詩和者紛紛因用韵,董仲達
